date;debit_fin_de_journee;source;pits
2016-04-08;-124.42266;Storengy;Saline
2016-04-12;-37.89828;Storengy;Saline
2016-04-13;14.0364;Storengy;Saline
2016-04-20;-27.37098;Storengy;Saline
2016-05-02;6.81768;Storengy;Saline
2016-05-05;43.6131;Storengy;Saline
2016-05-09;39.1014;Storengy;Saline
2016-05-13;56.74716;Storengy;Saline
2016-05-19;24.36318;Storengy;Saline
2016-05-21;24.76422;Storengy;Saline
2016-05-24;-72.78876;Storengy;Saline
2016-05-26;-21.35538;Storengy;Saline
2016-06-05;56.6469;Storengy;Saline
2016-06-07;11.63016;Storengy;Saline
2016-06-10;34.0884;Storengy;Saline
2016-06-13;60.55704;Storengy;Saline
2016-06-18;51.93468;Storengy;Saline
2016-06-22;14.5377;Storengy;Saline
2016-07-01;46.52064;Storengy;Saline
2016-07-08;51.03234;Storengy;Saline
2016-07-13;48.82662;Storengy;Saline
2016-07-17;48.02454;Storengy;Saline
2016-07-18;47.1222;Storengy;Saline
2016-07-20;47.32272;Storengy;Saline
2016-07-21;48.72636;Storengy;Saline
2016-07-23;48.52584;Storengy;Saline
2016-07-30;45.51804;Storengy;Saline
2016-08-06;44.6157;Storengy;Saline
2016-08-08;43.51284;Storengy;Saline
2016-08-13;40.104;Storengy;Saline
2016-08-23;22.15746;Storengy;Saline
2016-08-25;25.86708;Storengy;Saline
2016-09-01;21.45564;Storengy;Saline
2016-09-06;19.0494;Storengy;Saline
2016-09-18;19.95174;Storengy;Saline
2016-09-25;12.43224;Storengy;Saline
2016-09-28;19.75122;Storengy;Saline
2016-09-29;-7.5195;Storengy;Saline
2016-10-03;17.5455;Storengy;Saline
2016-10-20;21.85668;Storengy;Saline
2016-11-10;-98.55558;Storengy;Saline
2016-11-11;-1.30338;Storengy;Saline
2016-11-20;-3.40884;Storengy;Saline
2016-11-21;0.90234;Storengy;Saline
2016-11-23;-29.77722;Storengy;Saline
2016-11-28;-112.69224;Storengy;Saline
2016-12-09;-46.82142;Storengy;Saline
2016-12-10;-33.5871;Storengy;Saline
2016-12-12;-187.08516;Storengy;Saline
2016-12-16;-47.52324;Storengy;Saline
2016-12-23;-100.86156;Storengy;Saline
2017-01-01;-85.62204;Storengy;Saline
2017-01-15;-34.99074;Storengy;Saline
2017-01-22;-69.98148;Storengy;Saline
2017-01-24;-190.89504;Storengy;Saline
2017-01-25;-156.20508;Storengy;Saline
2017-01-31;-16.5429;Storengy;Saline
2017-02-03;-6.31638;Storengy;Saline
2017-02-10;-51.33312;Storengy;Saline
2017-02-11;-14.93874;Storengy;Saline
2017-02-13;-3.20832;Storengy;Saline
2017-02-17;-2.60676;Storengy;Saline
2017-02-19;-1.10286;Storengy;Saline
2017-02-21;-6.0156;Storengy;Saline
2017-02-26;42.20946;Storengy;Saline
2017-03-04;-5.61456;Storengy;Saline
2017-03-08;14.43744;Storengy;Saline
2017-03-09;27.5715;Storengy;Saline
2017-03-18;35.29152;Storengy;Saline
2017-03-23;31.28112;Storengy;Saline
2017-03-25;24.76422;Storengy;Saline
2017-03-28;23.76162;Storengy;Saline
2017-04-05;5.21352;Storengy;Saline
2017-04-07;27.77202;Storengy;Saline
2017-04-27;15.13926;Storengy;Saline
2017-04-28;14.0364;Storengy;Saline
2017-05-10;17.0442;Storengy;Saline
2017-05-11;15.64056;Storengy;Saline
2017-05-17;38.0988;Storengy;Saline
2017-05-23;16.0416;Storengy;Saline
2017-05-29;24.26292;Storengy;Saline
2017-05-31;21.65616;Storengy;Saline
2017-06-04;51.6339;Storengy;Saline
2017-06-06;51.03234;Storengy;Saline
2017-06-07;55.84482;Storengy;Saline
2017-06-08;36.79542;Storengy;Saline
2017-06-14;42.81102;Storengy;Saline
2017-06-15;23.16006;Storengy;Saline
2017-07-03;29.67696;Storengy;Saline
2017-07-06;22.65876;Storengy;Saline
2017-07-08;23.0598;Storengy;Saline
2017-07-12;27.47124;Storengy;Saline
2017-07-17;24.66396;Storengy;Saline
2017-07-21;34.38918;Storengy;Saline
2017-07-24;16.94394;Storengy;Saline
2017-08-05;34.5897;Storengy;Saline
2017-08-10;38.70036;Storengy;Saline
2017-08-12;46.82142;Storengy;Saline
2017-08-15;40.40478;Storengy;Saline
2017-08-17;28.97514;Storengy;Saline
2017-08-25;25.76682;Storengy;Saline
2017-08-30;31.18086;Storengy;Saline
2017-09-15;8.12106;Storengy;Saline
2017-10-01;16.84368;Storengy;Saline
2017-10-06;34.99074;Storengy;Saline
2017-10-10;24.16266;Storengy;Saline
2017-10-28;-5.5143;Storengy;Saline
2017-10-31;-5.61456;Storengy;Saline
2017-11-06;-0.40104;Storengy;Saline
2017-11-17;-42.1092;Storengy;Saline
2017-11-22;18.64836;Storengy;Saline
2017-11-26;18.24732;Storengy;Saline
2017-12-01;-10.22652;Storengy;Saline
2017-12-03;-4.21092;Storengy;Saline
2017-12-06;-74.29266;Storengy;Saline
2017-12-18;11.0286;Storengy;Saline
2017-12-21;5.31378;Storengy;Saline
2017-12-24;13.43484;Storengy;Saline
2010-11-03;63.59375398;Storengy;Sediane
2010-11-04;67.35089321;Storengy;Sediane
2010-11-11;-138.8507598;Storengy;Sediane
2010-11-13;1.829194573;Storengy;Sediane
2010-11-14;16.19896108;Storengy;Sediane
2010-11-15;-147.0458107;Storengy;Sediane
2010-11-18;-177.1251431;Storengy;Sediane
2010-11-20;-167.6433865;Storengy;Sediane
2010-11-22;-175.2945058;Storengy;Sediane
2010-12-02;-239.8917962;Storengy;Sediane
2010-12-05;-166.5504703;Storengy;Sediane
2010-12-23;-31.90760764;Storengy;Sediane
2010-12-28;-92.60008788;Storengy;Sediane
2010-12-29;-24.75822746;Storengy;Sediane
2010-12-31;-56.39384777;Storengy;Sediane
2011-01-06;-43.05599328;Storengy;Sediane
2011-01-07;-30.16403812;Storengy;Sediane
2011-01-10;-68.33870286;Storengy;Sediane
2011-01-15;2.925421371;Storengy;Sediane
2011-01-16;-6.246234094;Storengy;Sediane
2011-01-17;-15.82930346;Storengy;Sediane
2011-01-19;-26.07176079;Storengy;Sediane
2011-02-03;-71.50084109;Storengy;Sediane
2011-02-05;-27.61167218;Storengy;Sediane
2011-02-09;-43.33598437;Storengy;Sediane
2011-02-17;-52.44618446;Storengy;Sediane
2011-02-24;-86.82391978;Storengy;Sediane
2011-02-26;-31.84356657;Storengy;Sediane
2011-03-01;-107.8983061;Storengy;Sediane
2011-03-12;93.45509413;Storengy;Sediane
2011-03-19;-10.16093793;Storengy;Sediane
2011-03-23;9.061514842;Storengy;Sediane
2011-03-25;106.1465022;Storengy;Sediane
2011-03-26;109.6774188;Storengy;Sediane
2011-03-27;110.4060513;Storengy;Sediane
2011-03-29;73.30572262;Storengy;Sediane
2011-03-31;101.6612388;Storengy;Sediane
2011-04-10;204.515738;Storengy;Sediane
2011-04-11;203.3968354;Storengy;Sediane
2011-04-13;29.2299929;Storengy;Sediane
2011-04-15;2.426292;Storengy;Sediane
2011-04-16;2.4483492;Storengy;Sediane
2011-04-17;82.6934454;Storengy;Sediane
2011-04-25;127.282784;Storengy;Sediane
2011-04-29;113.9970958;Storengy;Sediane
2011-04-30;137.1000076;Storengy;Sediane
2011-05-08;10.61598198;Storengy;Sediane
2011-05-15;90.69362493;Storengy;Sediane
2011-05-21;121.9823316;Storengy;Sediane
2011-05-23;80.76324189;Storengy;Sediane
2011-05-26;149.9169934;Storengy;Sediane
2011-05-27;93.27947871;Storengy;Sediane
2011-06-02;40.34773607;Storengy;Sediane
2011-06-05;18.15821392;Storengy;Sediane
2011-06-11;9.78096456;Storengy;Sediane
2011-06-18;59.94628917;Storengy;Sediane
2011-06-22;68.77203861;Storengy;Sediane
2011-06-29;86.6737674;Storengy;Sediane
2011-07-01;53.62238666;Storengy;Sediane
2011-07-02;58.89830447;Storengy;Sediane
2011-07-14;8.202411967;Storengy;Sediane
2011-07-15;23.34706595;Storengy;Sediane
2011-07-16;8.718394041;Storengy;Sediane
2011-07-22;1.273515554;Storengy;Sediane
2011-07-24;-5.314506885;Storengy;Sediane
2011-07-26;-11.0566728;Storengy;Sediane
2011-07-27;-13.5431208;Storengy;Sediane
2011-08-02;103.2393171;Storengy;Sediane
2011-08-09;82.99910706;Storengy;Sediane
2011-08-11;76.19379213;Storengy;Sediane
2011-08-13;88.99985755;Storengy;Sediane
2011-08-15;74.86191121;Storengy;Sediane
2011-08-20;63.2500607;Storengy;Sediane
2011-08-25;68.1958494;Storengy;Sediane
2011-08-27;48.72295016;Storengy;Sediane
2011-08-30;2.121746234;Storengy;Sediane
2011-09-01;34.19323186;Storengy;Sediane
2011-09-06;7.613882759;Storengy;Sediane
2011-09-09;3.265435114;Storengy;Sediane
2011-09-13;44.43660757;Storengy;Sediane
2011-09-19;17.84858297;Storengy;Sediane
2011-09-20;20.76698314;Storengy;Sediane
2011-09-24;-2.920479556;Storengy;Sediane
2011-09-26;-27.01240613;Storengy;Sediane
2011-09-27;5.625364018;Storengy;Sediane
2011-10-11;-9.792363119;Storengy;Sediane
2011-10-13;5.037474469;Storengy;Sediane
2011-10-15;2.129845237;Storengy;Sediane
2011-10-16;11.27220774;Storengy;Sediane
2011-10-17;-10.37727595;Storengy;Sediane
2011-10-18;2.044713469;Storengy;Sediane
2011-10-23;37.90771547;Storengy;Sediane
2011-10-25;35.6001283;Storengy;Sediane
2011-10-27;53.26863429;Storengy;Sediane
2011-10-29;54.52593078;Storengy;Sediane
2011-11-15;4.6029366;Storengy;Sediane
2011-11-19;-0.405573757;Storengy;Sediane
2011-11-27;-2.8213164;Storengy;Sediane
2011-12-01;0.139840643;Storengy;Sediane
2011-12-15;-218.2169137;Storengy;Sediane
2011-12-22;-223.4071894;Storengy;Sediane
2011-12-25;-269.4559948;Storengy;Sediane
2011-12-26;-277.3804449;Storengy;Sediane
2011-12-27;-278.4200108;Storengy;Sediane
2011-12-31;-28.14366176;Storengy;Sediane
2012-01-18;-35.22579155;Storengy;Sediane
2012-01-21;6.245234501;Storengy;Sediane
2012-01-22;7.136882775;Storengy;Sediane
2012-01-24;36.72791795;Storengy;Sediane
2012-01-28;-14.95923515;Storengy;Sediane
2012-02-06;-328.6532154;Storengy;Sediane
2012-02-09;-324.5361187;Storengy;Sediane
2012-02-14;-183.2600505;Storengy;Sediane
2012-02-15;-137.8063915;Storengy;Sediane
2012-02-20;-228.8229629;Storengy;Sediane
2012-02-26;0.62837554;Storengy;Sediane
2012-03-01;9.875750364;Storengy;Sediane
2012-03-02;0.493868729;Storengy;Sediane
2012-03-09;-74.87094264;Storengy;Sediane
2012-03-11;9.330231694;Storengy;Sediane
2012-03-12;6.01634794;Storengy;Sediane
2012-03-27;-12.42805916;Storengy;Sediane
2012-04-11;-81.2106;Storengy;Sediane
